current Cycle: ,0
O,F,F,/,U,N,P,L,U,G,G,E,D
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,2,.,8,8,7,5,3,0
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 2.21,TLEDR2: 1.37,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.1,TLEDR2: 2.13,TLEDR1: 2.14
CHG: 4.2,BLEDR2: 2.07,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.46,TLEDR2: 2.19,TLEDR1: 2.2
CHG: 4.2,BLEDR2: 2.11,BLEDR1: 2.11,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.02,TLEDR2: 1.23,TLEDR1: 2.2
CHG: 4.2,BLEDR2: 1.97,BLEDR1: 1.96,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.08,TLEDR2: 2.18,TLEDR1: 2.13
CHG: 4.2,BLEDR2: 2.07,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.73,TLEDR2: 2.17,TLEDR1: 2.15
CHG: 4.2,BLEDR2: 2.16,BLEDR1: 2.16,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.49,TLEDR2: 2.32,TLEDR1: 2.32
CHG: 4.2,BLEDR2: 1.96,BLEDR1: 1.95,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.21,PG: 0.0,PWM: 0.65,TLEDR2: 2.13,TLEDR1: 2.05
CHG: 4.2,BLEDR2: 2.08,BLEDR1: 2.07,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.7,TLEDR2: 2.24,TLEDR1: 2.22
CHG: 4.2,BLEDR2: 2.07,BLEDR1: 2.07,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.75,TLEDR2: 2.18,TLEDR1: 2.16
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.02,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 4.18,PG: 0.0,PWM: 1.1,TLEDR2: 1.37,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 1.98,BLEDR1: 1.97,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.48,TLEDR2: 2.17,TLEDR1: 2.16
CHG: 4.2,BLEDR2: 2.07,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.6,TLEDR2: 2.21,TLEDR1: 2.21
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 2.07,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.86,TLEDR2: 1.37,TLEDR1: 2.33
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.61,TLEDR2: 2.11,TLEDR1: 2.11
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.04,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.2,PG: 0.0,PWM: 3.32,TLEDR2: 2.19,TLEDR1: 2.23
CHG: 4.2,BLEDR2: 2.06,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 2.34,TLEDR2: 2.15,TLEDR1: 2.16
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.07,TLEDR2: 2.12,TLEDR1: 2.07
CHG: 4.2,BLEDR2: 2.01,BLEDR1: 2.0,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.71,TLEDR2: 2.15,TLEDR1: 2.14
CHG: 4.2,BLEDR2: 2.12,BLEDR1: 2.11,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.15,TLEDR2: 2.26,TLEDR1: 2.27
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.1,TLEDR2: 2.06,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 2.04,BLEDR1: 2.03,REAR_LEDS: 0.0,VBAT: 4.19,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.86,TLEDR2: 2.17,TLEDR1: 2.17
CHG: 4.2,BLEDR2: 2.1,BLEDR1: 2.1,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.59,TLEDR2: 2.22,TLEDR1: 2.21
CHG: 4.19,BLEDR2: 0.95,BLEDR1: 1.02,REAR_LEDS: 0.0,VBAT: 4.19,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.51,TLEDR2: 1.37,TLEDR1: 2.18
CHG: 4.2,BLEDR2: 2.02,BLEDR1: 2.01,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.67,TLEDR2: 2.16,TLEDR1: 2.13
CHG: 4.2,BLEDR2: 2.06,BLEDR1: 2.05,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.72,TLEDR2: 2.16,TLEDR1: 2.14
CHG: 4.2,BLEDR2: 2.15,BLEDR1: 2.15,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.79,TLEDR2: 2.33,TLEDR1: 2.33
