Model,MSO4104B-L
Firmware Version,2.90

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.0488
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.16
,
,
,
Label,BATT_V
TIME,CH1
-3.7980e-02,0.00530469
-3.7960e-02,-0.000226563
-3.7940e-02,0.00434375
-3.7920e-02,-0.00046875
-3.7900e-02,-0.0107344
-3.7880e-02,-0.00899219
-3.7860e-02,-0.0090625
-3.7840e-02,-0.0161172
-3.7820e-02,-0.0125625
-3.7800e-02,-0.0124375
-3.7780e-02,-0.00285156
-3.7760e-02,-0.004375
-3.7740e-02,0.00134375
-3.7720e-02,0.00704687
-3.7700e-02,0.00271875
-3.7680e-02,-0.0261484
-3.7660e-02,0.0094375
-3.7640e-02,0.00240625
-3.7620e-02,-0.00765625
-3.7600e-02,-0.0112891
-3.7580e-02,0.000289062
-3.7560e-02,-0.00157812
-3.7540e-02,-0.00473438
-3.7520e-02,-0.00582812
-3.7500e-02,-0.00297656
-3.7480e-02,0.00686719
-3.7460e-02,-0.00413281
-3.7440e-02,0.00171875
-3.7420e-02,-0.00250781
-3.7400e-02,-0.0124297
-3.7380e-02,-0.00966406
-3.7360e-02,-0.00520313
-3.7340e-02,-0.0120156
-3.7320e-02,-0.00372656
-3.7300e-02,-0.00164844
-3.7280e-02,-0.0125625
-3.7260e-02,-0.00550781
-3.7240e-02,0.00663281
-3.7220e-02,-0.005125
-3.7200e-02,-0.00567187
-3.7180e-02,0.0115234
-3.7160e-02,-0.00503125
-3.7140e-02,-0.000898437
-3.7120e-02,0.00388281
-3.7100e-02,0.00291406
-3.7080e-02,-0.000328125
-3.7060e-02,-0.00471875
-3.7040e-02,-0.00964062
-3.7020e-02,-0.00602344
-3.7000e-02,7.8125e-05
-3.6980e-02,-0.00479687
-3.6960e-02,0.00096875
-3.6940e-02,0.00714844
-3.6920e-02,-0.00357031
-3.6900e-02,0.000289062
-3.6880e-02,0.002
-3.6860e-02,-0.0109922
-3.6840e-02,-0.00273437
-3.6820e-02,-0.00478906
-3.6800e-02,-0.00839844
-3.6780e-02,-0.00145313
-3.6760e-02,-0.00114844
-3.6740e-02,0.00455469
-3.6720e-02,-0.00452344
-3.6700e-02,-0.00457813
-3.6680e-02,-0.00232813
-3.6660e-02,-0.00234375
-3.6640e-02,-0.000773437
-3.6620e-02,-0.00297656
-3.6600e-02,0.00138281
-3.6580e-02,-0.0126641
-3.6560e-02,-0.00892188
-3.6540e-02,-0.0107344
-3.6520e-02,-0.00458594
-3.6500e-02,-0.000296875
-3.6480e-02,-0.00247656
-3.6460e-02,-0.00902344
-3.6440e-02,0.00914062
-3.6420e-02,0.00499219
-3.6400e-02,-0.00745312
-3.6380e-02,0.0108281
-3.6360e-02,0.0127266
-3.6340e-02,-0.00509375
-3.6320e-02,-0.00332813
-3.6300e-02,-0.000960937
-3.6280e-02,0.008625
-3.6260e-02,-0.00288281
-3.6240e-02,-0.00908594
-3.6220e-02,-0.0100469
-3.6200e-02,-0.0148281
-3.6180e-02,-0.00989844
-3.6160e-02,-0.0135
-3.6140e-02,0.00605469
-3.6120e-02,0.000710937
-3.6100e-02,0.000976562
-3.6080e-02,0.00363281
-3.6060e-02,0.00367187
-3.6040e-02,0.0114922
-3.6020e-02,0.00110156
-3.6000e-02,-0.00707813
-3.5980e-02,-0.00103906
-3.5960e-02,0.00653125
-3.5940e-02,-0.00386719
-3.5920e-02,0.00469531
-3.5900e-02,-0.00285156
-3.5880e-02,-0.0084375
-3.5860e-02,-0.00321875
-3.5840e-02,-0.0150859
-3.5820e-02,-0.00572656
-3.5800e-02,-0.0019375
-3.5780e-02,0.00140625
-3.5760e-02,-0.00275
-3.5740e-02,-0.00132031
-3.5720e-02,-0.00869531
-3.5700e-02,-0.0117891
-3.5680e-02,0.00335156
-3.5660e-02,-0.00608594
-3.5640e-02,0.0019375
-3.5620e-02,-0.00475
-3.5600e-02,-0.00336719
-3.5580e-02,0.0118984
-3.5560e-02,0.00207031
-3.5540e-02,0.00183594
-3.5520e-02,0.00471875
-3.5500e-02,0.0049375
-3.5480e-02,-0.00810938
-3.5460e-02,-0.0030625
-3.5440e-02,-0.00150781
-3.5420e-02,-0.00722656
-3.5400e-02,0.00154687
-3.5380e-02,-0.00292187
-3.5360e-02,-0.00721875
-3.5340e-02,-0.0137656
-3.5320e-02,0.001375
-3.5300e-02,-0.00366406
-3.5280e-02,0.00157812
-3.5260e-02,0.00602344
-3.5240e-02,-0.00213281
-3.5220e-02,0.0107578
-3.5200e-02,-0.00370312
-3.5180e-02,0.00533594
-3.5160e-02,0.00128906
-3.5140e-02,-0.00071875
-3.5120e-02,0.00152344
-3.5100e-02,-0.00607813
-3.5080e-02,-0.00739063
-3.5060e-02,-0.00975
-3.5040e-02,-0.00684375
-3.5020e-02,0.00110937
-3.5000e-02,0.0119531
-3.4980e-02,-0.00780469
-3.4960e-02,-0.00186719
-3.4940e-02,0.0111797
-3.4920e-02,0.00649219
-3.4900e-02,0.0083125
-3.4880e-02,0.0071875
-3.4860e-02,-0.000453125
-3.4840e-02,0.00885937
-3.4820e-02,0.0104531
-3.4800e-02,-0.00861719
-3.4780e-02,0.00310156
-3.4760e-02,-0.007
-3.4740e-02,-0.013625
-3.4720e-02,-0.00425781
-3.4700e-02,-0.00507031
-3.4680e-02,-0.00932812
-3.4660e-02,0.00967969
-3.4640e-02,0.004625
-3.4620e-02,-0.000265625
-3.4600e-02,0.0013125
-3.4580e-02,-0.00192969
-3.4560e-02,-0.00649219
-3.4540e-02,0.0111719
-3.4520e-02,0.000257812
